sentence,mut_sentence,check,reason,tokens.num,mut.error
"Each legislator , after all , is only one out of 535 when it comes to national policy making .","Each legislator, after all, is only one out of 535 when they come to national policy making.",Realistic,这句话在语法和语义上都是正确的。'Each legislator' 指的是每一位立法者，'is only one out of 535' 表示在535名立法者中，每一位都只是其中一员。'When they come to national policy making' 指的是在参与国家政策制定时，这个句子没有明显的语法错误，也没有违背常识。,20,0
It is actually not necessary to know MathML to use kalgebra .,They are actually not necessary to know MathML to use kalgebra.,Grammatical error,句子中的动词 'to know' 应该使用原形 'know'，因为 'not' 通常位于助动词或情态动词之后，而不是不定式之前。正确的表达应该是 'They are actually not necessary to know' 改为 'They are actually not necessary to know or' 或者 'They do not actually need to know'。,12,1
"When it was n't my turn in the balloon I followed its progress from the `` chase car , `` listening to the driver holler into a walkie-talkie .","When it wasn't my turn in the balloons I followed their progress from the `` chase car, '' listening to the driver holler into a walkie-talkie.",Realistic,这句话在语法和语义上都是正确的。句子描述了在热气球活动期间，当不是说话者的轮次时，他/她在追逐车里通过步话机听着司机的呼喊来关注进展。句子结构完整，使用了正确的时态和词汇，没有违背常识。,29,0
"Some of the jurors have said they were horrified by the photographs of the victims , Jennifer Hawke-Petit , 48 , and her daughters , Hayley , 17 , and Michaela , 11 .","Some of the jurors have said them were horrified by the photographs of the victims , Jennifer Hawke-Petit , 48 , and her daughters , Hayley , 17 , and Michaela , 11 .",Grammatical error,主谓一致错误，应使用第三人称复数形式的动词。正确的动词形式应为WERE，而不是SAY THEM WERE。另外，SAY后应直接跟宾语从句，并使用正确的代词形式。,34,1
"Like most of the other 6,000 churches in Britain with sets of bells , St. Michael once had its own `` band `` of ringers , who would herald every Sunday morning and evening service .","Like most of the other 6,000 churches in Britain with sets of bells, St. Michael once had their own `` band `` of ringers, who would herald every Sunday morning and evening service.",Grammatical error,句子中的代词使用错误，应该使用单数形式的‘its own’而不是‘their own’，因为主语是单数形式的‘St. Michael’。,36,1
"In every presidential election over the past half century , except for the Goldwater presidential candidacy , the GOP has captured a greater percentage of the major - party popular vote for president than it has of congressional seats or the popular vote for Congress .","In every presidential election over the past half century , except for the Goldwater presidential candidacy , the GOP has captured a greater percentage of the major-party popular vote for president than they have of congressional seats or the popular vote for Congress .",Realistic,该句子在语法和语义上都是正确的。使用了正确的时态和比较结构，表达了过去半个世纪中，除了Goldwater的总统竞选之外，GOP在总统选举中获得的多数党票比例高于他们在国会席位或国会普选中的比例。这个句子没有明显的语法错误，也没有违反常识。,46,0
"He believed colon cancer might also arise from multiple `` hits `` on cancer suppressor genes , because it often seems to develop in stages .","He believed colon cancer might also arise from multiple `` hits `` on cancer suppressor genes, because they often seems to develop in stages.",Grammatical error,"句中的""seems""应与前面的""they""保持一致，使用复数形式""seem""。正确的句子应为：...because they often seem to develop in stages.",26,1
This favorite grievance was not the landlord .,That favorite grievance was not the landlord.,Realistic,句子的结构看起来有些混乱，'favorite grievance' 与 'the landlord' 之间的关系不太清晰。'Grievance' 通常指的是不满或抱怨，而将其描述为 'favorite' 是不寻常的，因为人们通常不会把不满视为喜好。此外，'was not the landlord' 这个短语在这里没有很好地与主语 'favorite grievance' 连接，导致句子的意思含糊不清。,8,1
This document is a summary of the European Public Assessment Report .,That document is a summary of the European Public Assessment Report.,Realistic,该句子在语法和语义上都是正确的。主语'That document'和谓语'is'搭配合理，且句子表达的意思清晰，没有违反常识。,12,0
"Thus at the recent governors ' conference on education , Gov. Bill Clinton of Arkansas announced that `` this country needs a comprehensive child-development policy for children under five . ``","Thus at the recent governors' conference on education, Gov. Bill Clinton of Arkansas announced that `` that country needs a comprehensive child-development policy for children under five. ''",Realistic,这句话在语法和语义上都是正确的。使用了适当的引号来引用某人的话语，并且句子的结构清晰，表达了州长比尔·克林顿在会议上提出的一个观点。,32,0
"If you want more information on the basis of the CHMP recommendations , read the Scientific Discussion ( also part of the EPAR ) .","If me want more information on the basis of the CHMP recommendations, read the Scientific Discussion (also part of the EPAR).",Grammatical error,主语使用错误，应使用第一人称单数形式'I'代替'me'。,25,1
"But it is unfair to dump on teachers , as distinct from the educational establishment .","But them are unfair to dump on teachers , as distinct from the educational establishment .",Grammatical error,"主语使用错误，应使用单数形式'them'应改为'they'；此外，'as distinct from'后面应该接名词或名词短语，而这里使用了定冠词'the'，应该使用复数形式。正确的句子应该是：But they are unfair to dump on teachers, as distinct from the educational establishments.",16,1
The damage brought about to the principles of the sport by these actions is not as much ethical as aesthetic .,The damage brought about to the principles of the sport by those actions is not as much ethical as aesthetic.,Realistic,句中的「is not as much ethical as aesthetic」在语法上不正确，应该使用形容词的比较级形式。正确的表达应该是「is not as ethical as aesthetic」或者「is not as much about ethics as about aesthetics」。,21,1
"Arsenic was more common in the early times on Earth , she said , so researchers have speculated that early life forms might have used it .","Arsenic was more common in the early times on Earth, she said, so researchers have speculated that early life forms might have used them.",Grammatical error,句子中的'might have used them'应改为'might have used it'，因为前面的'arsenic'是单数，代词应该保持一致。,27,1
Why had n't he noticed it before ?,Why had n't he noticed them before?,Realistic,句子中的 'had n't' 应该是 'hadn't'，这是 'had' 和 'not' 的缩写形式，需要连在一起写。正确的形式是 'Why hadn't he noticed them before?',8,1
"But his new-found buddy had matched him drink for drink until he lost count , and the man 's eyes were still clear .","But that new-found buddy had matched him drink for drink until he lost count, and the man's eyes were still clear.",Realistic,句子在语法和语义上都是正确的。使用了过去完成时态「had matched」来描述过去发生的事件，并且「until he lost count」表明动作持续到某个不确定的时间点。此外，句子的后半部分表明尽管喝了酒，但那个人的眼睛仍然清晰，这在语义上是合理的描述。,24,0
He had already quite forgotten about him .,He had already quite forgotten about them.,Realistic,句子在语法和语义上都是正确的。使用了过去完成时态，表示在过去某个时间点之前已经完成的动作，符合英语语法规则。,8,0
"In his program , François Hollande confines himself to banalities , saying that co-development would allow our immigration problem to be solved . ''","In his program, François Hollande confines himself to banalities, saying that co-development would allow that immigration problem to be solved.",Realistic,这句话在语法和语义上都是正确的。主语是François Hollande，谓语是confines，宾语是himself to banalities，后面的saying引导的是现在分词短语作状语，补充说明了他所说的话。句子的意思是在他的计划中，François Hollande局限于陈词滥调，提到共同发展可以解决移民问题，这并不违反常识。,24,0
"It was like a recurrent , annoying dream , but now the dream was beginning to take on overtones of a nightmare .","They were like recurrent, annoying dreams, but now the dreams were beginning to take on overtones of a nightmare.",Realistic,这句话在语法和语义上都是正确的。使用了比喻的修辞手法，将某些不断重复且令人烦恼的经历比作是反复出现的梦，并且进一步指出这些梦现在开始带有噩梦的特征。句子结构完整，没有语法错误，且表达清晰，符合常识。,23,0
"That s easy . With this , we can operate with functions like cos() , sin() , any other trigonometric functions , sum () or product () .","That's easy. With that, we can operate with functions like cos(), sin(), any other trigonometric functions, sum() or product().",Realistic,"这句话在语法和语义上都是正确的。它表达了一个观点，即通过某种方式（可能是上下文中提到的某种工具或方法），可以轻松地使用诸如cos(), sin(), 其他三角函数，以及sum()和product()等函数。句子结构简单明了，没有语法错误，也没有违反常识。",34,0
Suppose -- just suppose this guy was really what he said he was T ! !,Suppose -- just suppose that guy was really what he said he was T ! !,Realistic,这句话使用了假设的语气，并且在口语中常见这样的感叹句表达方式。虽然感叹号连用两个显得有些非正式，但这并不影响句子的可理解性和语法正确性。,16,0
Whether they are or are not underpaid is a problem of equity ; it is not an educational problem .,Whether they are or are not underpaid is a problem of equity ; they is not an educational problem .,Grammatical error,主谓一致错误，'they is' 应该是 'they are'。,20,1
"Our pilot simply laughed , fired up the burner and with another blast of flame lifted us , oh , a good 12-inches above the water level .","Our pilot simply laughed, fired up the burner and with another blast of flame lifted them, oh, a good 12-inches above the water level.",Realistic,这句话在语法和语义上都是正确的。主语和谓语搭配合理，句子描述了一个飞行员点燃燃烧器，并通过火焰将某物提升到水面以上12英寸的情景。此描述没有明显的语法错误，也没有违反常识。,28,0
It could have been an accident `` .,That could have been an accident.,Realistic,这句话在语法上是正确的，使用了情态动词 'could have been' 表示对过去可能发生的事情的推测，符合英语语法规则。语义上，这句话表达了对过去某个事件可能是一个意外的推测，这在日常语境中是合理的。,8,0
"This meant returning to the golf course , where we watched a few French duffers maul the first tee while we sat under Cinzano umbrellas , me nursing an espresso and my ego .","That meant returning to the golf course, where we watched a few French duffers maul the first tee while we sat under Cinzano umbrellas, me nursing an espresso and my ego.",Realistic,该句子在语法和语义上都是正确的。句子使用了形象生动的描写，描述了作者在高尔夫球场上的情景，没有明显的语法错误，也没有违反常识。,34,0
"Those actions are really against the sporting spirit , which is part of the strategic decisions that favor taking advantages allowed by the rules .","These actions are really against the sporting spirit, which is part of the strategic decisions that favor taking advantages allowed by the rules.",Realistic,句中的定语从句「which is part of the strategic decisions that favor taking advantages allowed by the rules」使用了非限制性定语从句，但是它前面没有明确的先行词，造成了语义上的混乱。另外，「favor taking advantages allowed by the rules」表达上有些拗口，可以简化为「favoring advantages within the rules」以增强语义清晰度。,25,1
"The three of us stopped breathing for a moment , and then when it kept on coming we lunged for the doorway .","The three of us stopped breathing for a moment, and then when they kept on coming we lunged for the doorway.",Realistic,这句话在语法和语义上都是正确的。主语是'The three of us'，谓语是'stopped breathing for a moment'，接着是一个并列句，使用了'and then'来连接两个动作，第一个动作是停止呼吸，第二个动作是向门口扑去。整个句子描述了一个连贯的场景，没有明显的语法错误，也没有违反常识。,23,0
"`` It makes you wonder what else is possible , '' said Ariel D. Anbar of Arizona State University , a co-author of the report .","They make you wonder what else is possible, '' said Ariel D. Anbar of Arizona State University, a co-author of the report.",Realistic,这句话在语法和语义上都是正确的。它使用了直接引语，引用了Ariel D. Anbar的话，他是亚利桑那州立大学的合作作者，句子的结构完整，表达清晰，没有语法错误，也没有违反常识。,26,0
Americans it seems have followed Malcolm Forbes 's hot-air lead and taken to ballooning in a heady way .,Americans they seems have followed Malcolm Forbes 's hot-air lead and taken to ballooning in a heady way.,Grammatical error,主语和谓语动词在数上不一致，应使用复数形式的's'；另外，'they seems'应改为they seem，因为主语是复数。句子结构也不太流畅，建议调整为更自然的表达方式。,19,1
"With that authority , of course , goes an unambiguous accountability .","With this authority, of course, goes an unambiguous accountability.",Realistic,该句子在语法和语义上都是正确的。'With this authority...' 意味着随着这种权力的赋予，当然也会有明确的责任。句子结构完整，意义清晰，符合常识和英语表达习惯。,12,0
