sentence,mut_sentence,check,reason,tokens.num,mut.error,standard,mut.reason
"Concerns over security , underscored by massive coordinated bombings Tuesday , and political instability as the U.S. military withdraws , likely kept American oil companies from venturing more forcefully in Iraq , which has the world 's third-largest proven crude reserves , analysts said .","Concerns over security, further highlighted by massive and meticulously coordinated bombings on Tuesday, and political instability amidst the ongoing withdrawal of the U.S. military, likely deterred American oil companies from more aggressively pursuing ventures in Iraq, home to the world's third-largest proven crude oil reserves, as analysts have pointed out.",Realistic,该句子在语法和语义上都是正确的。句子结构清晰，使用了恰当的从句和并列结构，表达了因为安全问题和政治不稳定，美国石油公司可能不会积极追求在伊拉克的投资。这符合常识，因为安全问题和政治不稳定确实会影响外国公司在某国的投资决策。,45,0,standard,变异句中添加了多个修饰词，如'further highlighted'、'meticulously'、'ongoing'、'more aggressively'和'home to'，这些都是原句中没有的，符合指定的变换要求，即添加修饰词。
"Ruth K. Nelson Cullowhee , N.C .","Ruth K. Nelson, currently of Cullowhee, N.C.",Realistic,这句话是一个简单的介绍性语句，指明了某人的当前居住地。在语法上，它使用了逗号正确地区分了人名和地点，且没有明显的语法错误。语义上，它提供了合理的信息，没有违反常识。,7,1,standard,变异句中添加了修饰词'currently of'，这符合指定的变换要求。
"If you want more information on the basis of the CHMP recommendations , read the Scientific Discussion ( also part of the EPAR ) .","If you wish to acquire further information based on the CHMP recommendations, thoroughly read the Scientific Discussion (which is also a component of the EPAR).",Realistic,该句子在语法和语义上都是正确的。条件句型（If you wish to...）表达了一个假设和建议，后面跟着的动词短语（thoroughly read the Scientific Discussion）是建议采取的行动。句子中的定语从句（which is also a component of the EPAR）正确描述了Scientific Discussion与EPAR之间的关系。整个句子结构清晰，表达的意思符合逻辑和常识。,25,0,standard,变异句中添加了修饰词，如'further'修饰'information'，'thoroughly'修饰'read'，以及使用了定语从句'(which is also a component of the EPAR)'来修饰'Scientific Discussion'，这些都是对原句的添加修饰词的变换。
"Six major elements have long been considered essential for life - carbon , hydrogen , nitrogen , oxygen , phosphorus and sulfur .","Six fundamental elements have long been recognized as crucial for life - carbon, hydrogen, nitrogen, oxygen, phosphorus, and sulfur.",Realistic,该句子在语法和语义上都是正确的。句子提到了构成生命基础的六种元素，这些元素的列举符合科学共识，没有语法错误。,23,0,standard,变异句中添加了修饰词'fundamental'来替换原句中的'major'，并且添加了'recognized as crucial'来替换'considered essential'，这符合指定的变换要求，即添加了修饰词。
"Really , he said to himself , nobody kills a man just as a favor ! !","Really, he whispered to himself, nobody simply kills a man just as a favor!",Realistic,这句话在语法和语义上都是正确的。使用了正确的时态和语法结构，表达了说话者对于某人仅仅因为帮忙就杀人这一行为的惊讶和不可思议。,17,0,standard,变异句中添加了修饰词 'whispered' 和 'simply'，分别修饰了原句中的 'said' 和 'kills'，符合指定的变换要求，即添加修饰词。
"Finally , the theory suggests why Republicans generally have fared better in Senate races than in campaigns for the House .","Finally, the theory suggests that Republicans have generally fared better in Senate races as compared to campaigns for the House.",Realistic,这句话在语法和语义上都是正确的。'Republicans have generally fared better in Senate races as compared to campaigns for the House' 表示共和党在参议院竞选中通常表现得比在众议院竞选中要好，这是一个合理的政治观察，没有语法错误，也没有违反常识。,21,0,nonstandard,变异句中并没有添加新的修饰词。原句和变异句的修饰词相同，即'generally'和'in Senate races'，没有按照指定的变换添加额外的修饰词。
"In races for the White House , a voter 's incentive , at the margin , is to lean Republican .","In closely contested races for the White House, a voter's primary incentive, even at the narrowest margin, is to lean firmly Republican.",Realistic,这句话在语法和语义上都是正确的。句子的结构清晰，主语是'a voter's primary incentive'，谓语是'is to lean firmly Republican'。句子的意思是，在竞争激烈的总统选举中，选民的主要动机，即使是在最微小的差距中，也是倾向于坚定地支持共和党。这个句子没有明显的语法错误，也没有违反常识。,21,0,standard,变异句中添加了多个修饰词，如「closely contested」修饰「races」，「primary」修饰「incentive」，「even at the narrowest margin」和「firmly」分别增强了原句中「at the margin」和「to lean Republican」的表达，符合指定的添加修饰词的变换。
"The latter are modish , trendy , often downright silly , and at best insubstantial .","The latter are indeed modish, genuinely trendy, often downright silly, and at their very best insubstantial.",Realistic,这句话在语法和语义上都是正确的。'The latter'指代前文提到的某个群体或事物的后者，这里可能是用来比较两个或多个事物，指出后者是时髦的、真正流行的，但常常很愚蠢，并且在最好的情况下也是不实质的。整个句子结构清晰，表达了一个合理的观点。,16,0,standard,变异句在原句的基础上添加了修饰词，如'really'、'genuinely'和'their very'，这符合指定的变换要求。
"We can use plus() , times() and everything which has its operator .","We can easily use plus(), times(), and everything which conveniently has its own operator.",Realistic,这句话在语法和语义上都是正确的。'plus()'和'times()'代表了加法和乘法的函数或方法，'everything which conveniently has its own operator'指的是那些有自己操作符的一切事物，这在编程语境中是通顺的。,17,1,standard,变异句中添加了以下修饰词：easily（副词，用于修饰use），conveniently（副词，用于修饰has）。这些修饰词的添加符合指定变换要求，即添加修饰词。
What benefit has Alimta shown during the studies ?,What significant benefit has Alimta actually shown during the studies?,Realistic,句子结构完整，语法正确，语义清晰。使用了现在完成时态，符合询问过去研究过程中展现出的显著好处的语境。,9,0,standard,变异句在原句的基础上添加了修饰词'significant'和'actually'，符合指定的变换要求。
Alimta is not recommended for use in patients with moderate or severe kidney problems .,Alimta is generally not recommended for use in patients who have moderate or severe kidney problems.,Realistic,这句话在语法和语义上都是正确的。它正确地表达了药物Alimta不推荐用于有中度或重度肾脏问题的患者，这符合医学建议的表述方式。,15,0,standard,变异句中添加了修饰词'generally'和'who have'，其中'generally'是对原句中'recommended'的修饰，'who have'替换了原句的'with'来修饰'patients'，符合指定的变换要求。
"Forged by a U.N. ad-hoc working group , the text is silent on how much money rich countries would give poor ones to cope with global warming over the short and long term .","Forged by a U.N. ad-hoc working group, the text remains curiously silent on exactly how much money rich countries would allocate to poor ones for coping with global warming in both the short and long term.",Realistic,该句子在语法和语义上都是正确的。句子使用了合适的时态和语态，表达了联合国临时工作组制定的文本在富国分配给穷国应对全球变暖的资金数额上的沉默，这在语境上是有意义的，并不违反常识。,34,0,standard,变异句在原句的基础上添加了修饰词'curiously'和'exactly'，分别增强了语气的疑问和精确性，同时将'give'变为'allocate'，增加了正式性，并且用'for coping'替换了'to cope'，这样的替换和添加均符合指定的变换——添加修饰词。
The purpose of education is to encourage young men and women to realize their full academic potential .,The primary purpose of education is to actively encourage young men and women to fully realize their complete academic potential.,Realistic,该句子在语法和语义上都是正确的。句子结构清晰，主语和谓语搭配得当，且句意符合教育的基本目的，没有违反常识。,18,0,standard,变异句中添加了'primary'（主要的）和'actively'（积极地）作为修饰词，并且在'to realize'变为'to fully realize their complete'，增加了'fully'（完全地）和'complete'（完整的），这些都是对原句的添加修饰词的变换。
"Late that afternoon , it seemed , he had fallen off the roof while on some obscure errand or inspection .","Late that gloomy afternoon, it seemed, he had accidentally fallen off the roof while on some obscure errand or routine inspection.",Realistic,这句话在语法和语义上都是正确的。句子使用了过去完成时态，表达了在过去某个特定时间点之前发生的动作。句子中的词汇和句子结构都符合英语语法规则，语义上也没有问题，表达了一个人在某个阴沉的下午意外从屋顶跌落的情景。,21,0,standard,变异句中添加了修饰词'gloomy'和'accidentally'，分别修饰了'afternoon'和'fallen off'，符合指定的变换要求，即添加修饰词。
Deutsche Bank also faces legal action by the FHFA covering multiple transactions with a total value of 14.2 billion dollars from 2005 to 2007 .,"Deutsche Bank also faces significant legal action by the FHFA over multiple transactions, which altogether amount to a total value of 14.2 billion dollars, from the years 2005 to 2007.",Realistic,"该句子在语法和语义上都是正确的。主语（Deutsche Bank）和谓语（faces）搭配合理，从句（which altogether amount to a total value of 14.2 billion dollars, from the years 2005 to 2007）提供了关于多宗交易的具体信息，时间状语也正确地表明了这些交易发生的时间范围。",25,0,standard,变异句在原句的基础上添加了修饰词'significant'来修饰'legal action'，以及'altogether'来强调总金额，这符合指定的变换要求，即添加修饰词。
"Cerenia is an anti-emetic , this means that it stops vomiting .","Cerenia is a highly effective anti-emetic, which means that it effectively stops vomiting.",Realistic,该句子在语法和语义上都是正确的。使用了正确的时态和语态，句子表达清晰，没有违背常识。,12,0,standard,在变异句中，'an anti-emetic'被修改为'a highly effective anti-emetic'，添加了修饰词'highly effective'，这符合指定的变换——添加修饰词。同时，'stops vomiting'被修改为'effectively stops vomiting'，也添加了修饰词'effectively'，进一步强调了Cerenia的效力。因此，句子发生了指定的变异。
"Tuesday 's rout of a GOP congressional hopeful in a Mississippi district that has n't backed a Democratic presidential candidate since Adlai Stevenson is another reminder that , at least at the federal level , political `` ticket splitting `` has been on the rise over the past half century .","Tuesday's overwhelming rout of a long-shot GOP congressional hopeful in a deeply conservative Mississippi district that hasn't supported a Democratic presidential candidate since the era of Adlai Stevenson serves as yet another stark reminder that, particularly at the federal level, the practice of political 'ticket splitting' has been increasingly prevalent over the past five decades.",Realistic,该句子在语法和语义上都是正确的。句子结构清晰，使用了正确的时态和语态，并且没有违背常识。描述了一个具体的政治事件，并以此为例说明了政治‘跨党投票’在过去五十年中越来越普遍的现象。,51,0,standard,变异句在原句的基础上增加了多个修饰词，如'overwhelming'修饰'rout'，'long-shot'修饰'GOP congressional hopeful'，'deeply conservative'修饰'Mississippi district'，以及'yet another'和'starkest'修饰'reminder'，同时还将'half century'具体化为'past five decades'，这些都是添加修饰词的体现，符合指定的变换要求。
"After your first three weeks of sleep deprivation , you 're scarcely in touch with reality any more ; without psychiatric treatment , you may well be unable to fend for yourself ever again . ``","After your initial three weeks of severe sleep deprivation, you're barely in touch with reality anymore; without any psychiatric treatment, you might permanently be unable to fend for yourself.",Realistic,这句话在语法和语义上都是正确的。它表达了一个假设情况，即连续三周的严重睡眠剥夺可能导致个人与现实脱节，并且如果没有精神治疗，可能会永久性地无法照顾自己。这种情况在医学和心理学上是有可能发生的，因此不违背常识。,36,0,standard,变异句在原句的基础上添加了修饰词，如'initial'修饰'three weeks'，'severe'修饰'sleep deprivation'，以及'barely'和'anyomore'强化了语气，'any'换成了'any psychiatric treatment'，以及'might permanently'对'you may well be unable'进行了修饰，符合指定的添加修饰词的变换。
She can drop dead `` ! !,She can drop dead instantly ! !,Realistic,这句话在语法上是正确的，是一个表达强烈情绪的句子，意为她可以立刻死去，通常用于表达对某人极端的愤怒或失望。虽然语义上可能带有负面情绪，但在口语中这种表达是可接受的。,7,0,standard,在原句的基础上，变异句添加了修饰词'instantly'，符合指定的变换要求。
"`` As a result , organisms have a hard time telling these elements apart . ''","As a result, organisms often have a hard time distinguishing between these elements.",Realistic,该句子在语法和语义上都是正确的。'As a result' 是一个常用的连接词，用于表示结果或后果，而 'organisms often have a hard time distinguishing between these elements' 在结构上是一个完整的句子，表达了生物体在区分某些元素时遇到的困难，这在语义上是合理的。,16,0,standard,变异句中添加了副词'often'作为修饰词，增加了句子的频率意味，符合指定的变换要求，即添加修饰词。
"Fortunately , these same parents do want their children to get a decent education as traditionally understood , and they have enough common sense to know what that demands .","Fortunately, these very same parents genuinely want their children to acquire a decent education, as it has traditionally been understood, and they possess enough common sense to fully grasp what that entails.",Realistic,这句话在语法和语义上都是正确的。句子结构清晰，使用了恰当的时态和语态，表达了父母希望孩子接受良好教育的意愿，并且认为他们有足够的常识去理解这意味着什么。没有发现语法错误或与常识相违背的地方。,30,0,standard,变异句中添加了多个修饰词，如'genuinely'修饰.want，'very'修饰'same'，以及'fully'修饰'grasp'，并且在描述教育时使用了'acquire a decent education'来替代原句的'get a decent education'，这些都是添加修饰词的表现，符合指定的变换。
"Second , if the key assumption is valid , Democrats should have lower attendance rates on roll-call votes than Republicans do to the extent that such votes reflect national policy making and that participating in such votes takes away from the time a legislator could otherwise devote to local benefit-seeking .","Second, if the key assumption indeed remains valid, Democrats might typically exhibit lower attendance rates on roll-call votes compared to Republicans, particularly to the extent that these votes genuinely reflect the processes of national policy making and thereby consume the valuable time that a legislator might otherwise allocate to local benefit-seeking activities.",Realistic,该句子在语法和语义上都是正确的。它使用了复合句结构，表达了假设和比较。句子中的从句和修饰语都适当地使用了，并且句意清晰，没有违反常识。,51,0,standard,变异句中添加了多个修饰词，如'indeed remains'、'typically exhibit'、'particularly to the extent that these votes genuinely reflect'、'thereby consume the valuable time'，这些修饰词的加入增加了句子的复杂性和详细程度，符合指定的变换要求，即添加修饰词。
"Once there , what ways of escape are open to them other than drink , drugs or insanity ?","Once there, what possible ways of escape are open to them other than drink, drugs, or insanity?",Realistic,这句话在语法和语义上都是正确的。它使用了条件句的倒装结构（Once there），这是一个合理的表达方式，询问在某种假设情况下除了喝酒、吸毒或发疯之外，还有什么可能的逃避方式。句子没有明显的语法错误，也没有违反常识。,19,0,standard,变异句在原句的基础上添加了修饰词‘possible’，符合指定的变换要求。
"No power , minimal phones , and a mess of mayonnaise , wine , and everything else all over the floors of the big old general store and the People 's Co-op .","No power, virtually minimal phones, and an absolute mess of mayonnaise, wine, and every other thing all over the worn-out floors of the spacious old general store as well as the People's Co-op.",Realistic,这句话在语法和语义上都是正确的。它使用了夸张的描写手法来描述一个场景，包括没有电力、几乎没电的手机以及杂乱无章的旧货店地板，这些都是可以理解的描述。句子没有明显的语法错误，也没有违反常识。,33,0,standard,变异句在原句的基础上增加了多个修饰词，如'virtually'修饰'minimal'，'absolute'修饰'mess'，'worn-out'修饰'floors'，以及'as well as'替换了'and'来连接两个地点，这些变化都是按照指定的变换——添加修饰词进行的。
You dismiss as `` sentimental `` the view that the reduction of federal housing-assistance programs by 77 % might have played a significant role in the increased number of men and women sleeping on our city streets during the Reagan-Bush years .,You condescendingly dismiss as `` sentimental '' the view that the reduction of federal housing-assistance programs by a whopping 77 % might have played a significant role in the increased number of both men and women sleeping on our city streets during the Reagan-Bush years.,Realistic,这句话在语法和语义上都是正确的。使用了复杂的词汇和长句结构，但符合英语语法规则，表达了一个合理的观点。,42,0,standard,变异句在原句的基础上添加了修饰词，如“condescendingly”和“whopping”，分别增强了原句中“dismiss”的语气和“77%”的程度，同时还将“men and women”改为“both men and women”，增加了表达的全面性，符合指定的添加修饰词的变换要求。
`` It can grow with either phosphorus or arsenic . '',It can surprisingly grow with either phosphorus or arsenic.,Realistic,这句话在语法和语义上都是正确的。'It'指代某个可以生长的实体（可能是植物或者某种生物），'can surprisingly grow'表示它能以令人惊讶的方式生长，后面跟着'with either phosphorus or arsenic'说明它可以在含有磷或者砷的环境中生长。这个句子没有语法错误，也没有违反常识。,11,0,standard,在原句的基础上，变异句添加了修饰词'surprisingly'，符合指定的变换要求。
"Treasury 10-year bond yields have grown to 3.540 % against 3.482 % on Tuesday evening , and 30-year bond yields are at 4.497 % against 4.492 % the previous evening .","Treasury 10-year bond yields have modestly grown to 3.540 % compared to the previous 3.482 % on Tuesday evening, while 30-year bond yields now stand at 4.497 % from the earlier 4.492 % the previous evening.",Realistic,该句子在语法和语义上都是正确的。句子描述了国债收益率的变化，使用了恰当的时态和比较结构，没有明显的语法错误，也没有违背常识。,31,0,standard,变异句中添加了修饰词，如‘modestly’和‘compared to the previous’，这些修饰词在原句中没有出现，符合指定的变换要求。
I came out here to retire .,I finally came out here to retire.,Realistic,这句话在语法和语义上都是正确的。'I finally came out here to retire.' 表示说话者最终来到这里是为了退休，句子结构完整，意义清晰。,7,0,standard,变异句在原句的基础上添加了修饰词'finally'，符合指定的变换要求。
"Together , the countries would cut emissions between 50 and 95 percent by 2050 .","Collectively, the countries aim to reduce emissions by between 50 and 95 percent by the year 2050.",Realistic,该句子在语法和语义上都是正确的。使用了恰当的词汇和句型结构来表达国家集体减少排放的目标。,15,0,standard,变异句中添加了修饰词'Collectively'（原句中的'Together'换成了'Collectively'），并且在'by 2050'后添加了'the year'作为修饰，符合指定的变换要求。
"Besides being a `` minority-owned company `` Wedtech was located in the South Bronx , a blighted area , made famous by Jimmy Carter in his 1976 presidential campaign .","Besides being a `` minority-owned company '' Wedtech was also strategically located in the South Bronx, a severely blighted area, which was made famous by Jimmy Carter during his 1976 presidential campaign.",Realistic,该句子在语法和语义上都是正确的。句子使用了正确的时态和语态，并且提供了有关Wedtech公司的地理位置和历史背景的信息，这与常识相符。,30,0,standard,变异句在原句的基础上添加了修饰词'also'和'strategically'，并且将'blighted area'修改为'severely blighted area'，这些都是添加修饰词的变换，符合指定的变换要求。
Which makes the chase car necessary .,Which ultimately makes the chase car necessary.,Realistic,这句话在语法上是正确的，使用了正确的时态和结构。'Which' 引导的非限制性定语从句，指代前面提到的内容，使得整个句子在语义上也是通顺的。,7,1,standard,变异句在原句的基础上添加了修饰词'ultimately'，符合指定的变换要求。
"Any question as to why an author would believe this plaintive , high-minded note of assurance is necessary is answered by reading this book about sticky fingers and sweaty scammers .","Any question as to why an author would genuinely believe this plaintive, high-minded note of assurance is necessary is fully answered by carefully reading this book about sticky fingers and sweaty scammers.",Realistic,这句话在语法和语义上都是正确的。它使用了复杂的结构来提出一个问题，并提出了通过阅读这本书可以得到答案。句子的结构是完整的，没有明显的语法错误，且语义上表达了作者为何会真诚相信某事，并且认为通过阅读本书可以找到答案。,31,0,standard,变异句中添加了'genuinely'和'carefully'这两个修饰词，分别修饰了'believe'和'reading'，符合指定的变换要求，即添加修饰词。
Only a few books fell in the reading room .,Only a few books silently fell in the quiet reading room.,Realistic,句子在语法和语义上都是正确的。'Only a few books' 指的是只有几本书，'silently fell' 描述的是书掉落的方式，'in the quiet reading room' 描述了发生的地点，整个句子描述了一个在阅览室里几本书悄无声息地掉落的场景，这在现实中是有可能发生的，并不违反常识。,10,0,standard,变异句在原句的基础上添加了两个修饰词'silently'和'quiet'，分别用来修饰动词'fell'和名词'reading room'，符合指定的变换要求。
"Back in the chase car , we drove around some more , got stuck in a ditch , enlisted the aid of a local farmer to get out the trailer hitch and pull us out of the ditch .","Back in the chase car, we drove around aimlessly some more, got stubbornly stuck in a ditch, enlisted the timely aid of a nearby local farmer to carefully get out the trailer hitch and finally pull us out of the ditch.",Realistic,该句子在语法和语义上都是正确的。它使用了合适的时态和词汇来描述一系列动作，这些动作逻辑上连贯，符合常识。,39,0,standard,变异句在原句的基础上增加了多个修饰词，如'aimlessly'、'stubbornly'、'timely'、'nearby'和'carefully'，这些修饰词的添加符合指定的变换要求，即添加修饰词。
kalgebra 's console is useful as a calculator .,kalgebra's console is extremely useful as a calculator.,Realistic,句子使用了正确的语法结构，'kalgebra's console' 指的是 'kalgebra' 这个软件的终端或控制台，并且说它作为计算器非常有用，这在语义上是通顺的。,9,1,standard,在原句的基础上，变异句添加了修饰词‘extremely’，对‘useful’的程度进行了强调，符合指定的变换要求。
"We finally rendezvoused with our balloon , which had come to rest on a dirt road amid a clutch of Epinalers who watched us disassemble our craft -- another half-an-hour of non-flight activity -- that included the precision routine of yanking the balloon to the ground , punching all the air out of it , rolling it up and cramming it and the basket into the trailer .","We finally rendezvoused with our balloon, which had gently come to rest on a dirt road, amidst a group of curious Epinalers who intently watched us disassemble our craft -- an additional half-an-hour of non-flight activity -- which included the meticulous routine of yanking the balloon to the ground, methodically punching all the air out of it, carefully rolling it up, and skillfully cramming it and the basket into the trailer.",Realistic,该句子在语法和语义上都是正确的。它使用了复杂的句式结构，包括定语从句、非限制性定语从句和破折号引导的插入语，这些都是英语中常见的表达方式。句子描述了一个具体的场景，没有明显的语法错误，也没有违反常识。,68,0,standard,变异句中添加了多个修饰词，如'gently'、'curious'、'intently'、'meticulous'、'methodically'、'carefully'和'skillfully'，这些修饰词增加了原句没有的细节描述，符合指定的变换要求。
The NCUA is fighting for compensation for losses that run into the billions .,The NCUA is actively fighting for compensation for losses that total in the billions.,Realistic,该句子在语法和语义上都是正确的。NCUA（美国国家信用合作社管理局）作为机构，积极争取数十亿美元的损失赔偿，这在语境上是有意义的。句子使用了正确的时态，并且表达了明确的意思。,14,0,standard,变异句中添加了修饰词'actively'，对动词'fighting'进行了强化，符合指定的变换要求。
A friend of mine was in an underground computer center in downtown SF when the quake hit .,A close friend of mine was in a small underground computer center located in the heart of downtown San Francisco when the powerful quake hit unexpectedly.,Realistic,这句话在语法和语义上都是正确的。它描述了一个具体的场景，即作者的某个朋友在旧金山市中心的地下电脑中心时遭遇了强烈的地震。句子结构清晰，使用了恰当的时态和词汇，没有明显的语法错误，也没有违反常识。,18,0,standard,变异句中添加了多个修饰词，如'a close friend of mine'代替了'a friend of mine'，'a small underground computer center'代替了'an underground computer center'，以及'located in the heart of downtown San Francisco'和'powerful'和'unexpectedly'等，都是对原句中的名词和动词进行了额外的修饰，符合指定的变换要求。
"The provocation of a yellow card in similar circumstances as this one is not a new practice , but rather frequent in the world of football .","The frequent provocation of a yellow card in circumstances similar to these is not a new practice, but rather a common occurrence in the global football world.",Realistic,这句话在语法和语义上都是正确的。句子使用了正确的时态和结构，表达了在类似的情境下频繁出示黄牌并不是一个新的做法，而是全球足球界的一个常见现象，这符合足球比赛的实际情况。,27,1,standard,变异句中添加了修饰词'frequent'来修饰'provocation'，以及'global'来修饰'football world'，符合指定的变换要求，即添加修饰词。
"If both copies of a second gene were then deleted , the polyps would progress to malignancy .","If both copies of a particular second gene were subsequently deleted, the polyps could progress to malignancy.",Realistic,这句话在语法和语义上都是正确的。句子使用了条件句的虚拟语气，表达了假设的情况。在生物学上，基因的缺失可能导致良性肿瘤（息肉）向恶性肿瘤的转变，这是符合科学常识的。,18,0,standard,在变异句中，'a particular second gene'比原句中的'a second gene'添加了修饰词'particular'，表示更具体的指代；另外，变异句中的'subsequently'作为时间状语，也是添加的修饰成分，提供了更具体的顺序信息。因此，句子发生了指定的添加修饰词的变换。
2 -RRB- Congressional representatives have two basic responsibilities while voting in office -- dealing with national issues -LRB- programmatic actions such as casting roll call votes on legislation that imposes costs and/or confers benefits on the population at large -RRB- and attending to local issues -LRB- constituency service and pork barrel -RRB- .,"Congressional representatives have two fundamental responsibilities during their time voting in office -- addressing national issues, including programmatic actions like casting roll call votes on legislation that imposes costs and/or confers benefits upon the general population, as well as devoting attention to local concerns, encompassing constituency service and pork barrel activities.",Realistic,该句子在语法和语义上都是正确的。它明确指出了国会代表在投票期间的两项基本职责：处理国家层面的问题和关注地方事务。句子结构清晰，使用了恰当的从句和并列结构来详细说明这些职责，没有明显的语法错误，也没有违背常识。,53,1,standard,变异句中添加了多个修饰词，如将'basic'变为'fundamental'，在'national issues'前添加了'addressing'，在'local issues'前添加了'devoting attention to'，并在两个概念中分别增加了'including'和'encompassing'来进一步描述具体内容，符合指定的变换要求。
"Mr. Quinlan , 30 years old , knew he carried a damaged gene , having lost an eye to the rare tumor when he was only two months old -- after his mother had suffered the same fate when she was a baby .","Mr. Quinlan, at the age of 30, knew that he carried a damaged gene, having tragically lost an eye to the rare tumor at only two months old -- a fate that his mother had unfortunately suffered herself as a baby.",Realistic,该句子在语法和语义上都是正确的。句子使用了正确的时态和结构，清楚地表达了Quinlan先生在30岁时知道自己携带受损基因的情况，并且提到了他和他的母亲都遭受了罕见的肿瘤的不幸命运。整个句子表达清晰，没有语法错误，也没有违反常识。,44,0,standard,变异句在原句的基础上增加了修饰词，如'at the age of 30'代替了'30 years old'，'tragically'和'unfortunately'分别用来强调失去眼睛的不幸和母亲的遭遇，符合指定的变换要求，即添加了修饰词。
"But Dr. Vogelstein had yet to nail the identity of the gene that , if damaged , flipped a colon cell into full-blown malignancy .","But Dr. Vogelstein had yet to precisely nail down the identity of the gene that, if damaged, potentially flipped a colon cell into full-blown malignancy.",Realistic,这句话在语法和语义上都是正确的。句子使用了条件状语从句（if damaged），并且逻辑清晰，表达了如果某个基因受损，可能会引发结肠细胞癌变的意思。句子结构完整，没有明显的语法错误，且符合科学常识。,25,0,standard,变异句在原句的基础上添加了修饰词'precisely'和'potentially'，分别对动词'nail'和'flipped'进行了修饰，符合指定的变换要求，即添加修饰词。
"In recent months , researchers have come to believe the two types of cancer genes work in concert : An oncogene may turn proliferating cells malignant only after the tumor-suppressor gene has been damaged .","In the past few months, researchers have increasingly come to believe that the two specific types of cancer genes work in concert: An oncogene may turn normally proliferating cells malignant only when the tumor-suppressor gene has become damaged.",Realistic,这句话在语法和语义上都是正确的。它使用了正确的时态和语态，表达了研究人员对两种特定癌症基因相互作用的新发现。句子中的从句也使用了恰当的连词，并且句意清晰，没有违反常识。,35,0,standard,变异句中添加了修饰词，如'increasingly'和'specific'，分别修饰了动词'come to believe'和名词'types of cancer genes'，符合指定的变换要求。
"Power is back on , and UCSF -LCB- medical center -RCB- seems to have quieted down for the night -LRB- they were doing triage out in the parking lot from the sound and lights of it -RRB- .","Power is back on, and the UCSF medical center seems to have settled down quietly for the night -LRB- they were busily doing triage out in the parking lot, judging by the sound and lights of it -RRB-.",Realistic,该句子在语法和语义上都是正确的。句子描述了电力恢复后，加州大学旧金山分校医疗中心似乎在夜间安静下来，同时通过声音和灯光推测他们在停车场忙着进行分类治疗。句子使用了正确的时态和语法结构，没有违反常识。,38,0,standard,变异句中添加了修饰词，如将'UCSF -LCB- medical center -RCB-'变为'the UCSF medical center'，在'seems to have quieted down for the night'中添加了'quietly'作为副词修饰'vettled down'，并且在从句中添加了'busily'作为副词修饰'doing triage'，这些都是指定的添加修饰词的变换。
