sentence,mut_sentence,check,reason,standard,mut.reason
"The 10 deals the Iraqi Oil Ministry reached with foreign oil companies suggest that China , Russia and European oil firms are poised to play a major role in refurbishing Iraq 's oil industry , crippled by decades of war and sanctions .","The several deals the Iraqi Oil Ministry reached with foreign oil companies suggest that China, Russia and European oil firms are poised to play a major role in refurbishing Iraq's oil industry, crippled by decades of war and sanctions.",Realistic,该句子在语法和语义上都是正确的。主语和谓语搭配合理，使用了正确的时态和语态，并且句子表达的意思与现实情况相符，没有违背常识。,standard,原句中的数词'10'被变异句中的量词'several'替换，符合数词和量词之间的替换这一指定变换。
"Concerns over security , underscored by massive coordinated bombings Tuesday , and political instability as the U.S. military withdraws , likely kept American oil companies from venturing more forcefully in Iraq , which has the world 's third-largest proven crude reserves , analysts said .","Concerns over security, underscored by significant coordinated bombings Tuesday, and political instability as the U.S. military withdraws, likely kept American oil companies from venturing more aggressively in Iraq, which possesses one of the world's largest proven crude reserves, analysts said.",Realistic,该句子在语法和语义上都是正确的。句子结构清晰，使用了逗号分隔不同的信息成分，复合句的从句和主句之间的关系表达明确。此外，句子内容符合常识，因为安全问题和政治不稳定确实可能阻止外国公司在一个国家进行更积极的商业活动，特别是考虑到伊拉克是世界上已证实原油储量最大的国家之一。,standard,原句中的数词'third-largest'被变异句中的量词'one of the largest'所替换，符合数词和量词之间的替换这一指定变换。
"The provocation of a yellow card in similar circumstances as this one is not a new practice , but rather frequent in the world of football .","The provocation of a yellow card in circumstances similar to these is not a new practice, but rather occurs frequently in the world of football.",Realistic,这句话在语法和语义上都是正确的。句子使用了正确的时态和词汇，表达了在类似情况下得到黄牌并不是足球界的新现象，而是经常发生的事情，这符合足球比赛的实际情况。,nonstandard,原句中的数词'one'和变异句中的量词'these'没有发生替换，原句使用的是'as this one'，而变异句使用的是'similar to these'，这并不是数词和量词之间的替换，而是对整体表达方式做了改变。
"One writer , signing his letter as `` Red-blooded , balanced male , `` remarked on the `` frequency of women fainting in peals , `` and suggested that they `` settle back into their traditional role of making tea at meetings . ``","A writer, signing his letter as `` Red-blooded, balanced male, '' remarked on the `` regularity with which women faint in groups, '' and suggested that they `` revert to their traditional role of making tea at gatherings.",Realistic,这句话在语法和语义上都是正确的。使用了引号来标示签名和直接引用的内容，符合英文写作习惯。句子的结构清晰，表达了作者的观点，尽管这个观点可能带有性别偏见，但这并不影响句子的语法和语义正确性。,standard,原句中的数词「frequency」被变异句中的量词「regularity」替换，且原句中的「peals」被变异句中的「groups」替换，这两者都体现了数词和量词之间的替换，符合指定的变换。
"These case studies analysed the background of the initiatives , their impact on employment patterns and work organisations and assessed the benefits and problems of the initiative .","These case studies analysed the background of a couple of initiatives, their impact on employment patterns and work organisations, and assessed the benefits and problems of the initiative.",Realistic,这句话在语法和语义上都是正确的。它使用了过去时态，说明了案例研究的内容和评估范围，没有明显的语法错误，也没有违反常识。,standard,原句中的'These case studies'被变异句中的'These case studies analysed the background of a couple of initiatives'所替换，其中'These'是表示多个的量词，而变异句中使用了数词'a couple of'来表示数量，这符合数词和量词之间的替换这一指定变换。
"Caja Laboral achieved a stunning 82-91 victory on their visit to the Maccabee Electra court despite Dusko Ivanovic 's team 's heavy losses , and after the great performance by Mizra Teltovic , who was the best on his team with eight three-pointers scored ( 29 points ) , they now at the top of their group .","Caja Laboral achieved a stunning 82-91 victory on their visit to the Maccabee Electra court despite Dusko Ivanovic's team's significant losses, and after the great performance by Mizra Teltovic, who was the best on his team with a few three-pointers scored (nearly 30 points), they are now at the top of their group.",Grammatical error,这个句子的语法结构有些混乱，导致理解上的困难。首先，'after the great performance by Mizra Teltovic...' 这个从句的主语和谓语不完整，与前半句的主语和谓语混在一起，使得句子看起来像是两个独立的想法拼凑在一起。其次，'who was the best on his team with a few three-pointers scored (nearly 30 points)' 这个插入语过于冗长，并且使用了过去时态，与主句的时态不一致。应该将这个插入语改为与前半句一致的时态，并且改进句子结构，以提高清晰度。,standard,原句中的数词'eight three-pointers'（八个三分球）被变异句中的量词'a few three-pointers'（几个三分球）所替换，同时原句中的具体分数'29 points'被变异句中的近似数'nearly 30 points'所替换，符合数词和量词之间的替换这一指定变换。
The theory relies on three assumptions :,The theory relies on several assumptions :,Realistic,句子结构正确，使用了冒号来引出将要列举的几个假设，符合英文写作习惯。,standard,原句中的数词'three'被变异句中的量词'several'替换，符合数词和量词之间的替换这一指定变换。
Under a microscope he could actually see that a bit of chromosome 13 was missing .,Under a microscope he could actually see that a bit of a particular chromosome was missing.,Realistic,句子在语法和语义上都是正确的。使用了正确的时态，并且表达了通过显微镜观察染色体缺失部分的情况，这符合科学观察的描述。,standard,原句中的数词'13'被变异句中的量词'a particular'替换，符合数词和量词之间的替换这一指定变换。
"If I were to ask a sample of American parents , `` Do you wish the elementary schools to encourage creativity in your children ? `` the near-unanimous answer would be , `` Yes , of course . ``","If I were to ask a group of American parents, `` Do you wish the elementary schools to encourage creativity in your children? '' the overwhelming response would be, `` Yes, without a doubt.''",Realistic,这句话在语法和语义上都是正确的。使用了虚拟语气（If I were to ask），这是提出假设的一种常见方式。句子的结构完整，表达了一个合理的假设，即大多数美国父母会希望学校鼓励孩子的创造力。这并不违反常识，因此结果是现实的。,standard,原句中的'near-unanimous'（几乎一致的）被变异句中的'overwhelming'（压倒性的）所替换，这两个词虽然表达的程度略有不同，但都表示了大多数人的意见。同时，'sample'（样本）被替换成了'group'（群体），这是数词和量词之间的替换，符合指定的变换。
Some researchers say new cancer drugs to slow or reverse tumor growth may be based on the suppressor proteins normally produced by the genes .,Some researchers say several new cancer drugs to slow or reverse tumor growth may be based on the suppressor proteins normally produced by the genes.,Realistic,该句子在语法和语义上都是正确的。句子结构清晰，主语、谓语、宾语完整，且使用了正确的时态和语态。句子表达的意思是：一些研究人员表示，几种可能减缓或逆转肿瘤生长的新抗癌药物可能是基于基因通常产生的抑制蛋白。这个句子没有明显的语法错误，也没有违背常识。,standard,原句中的'many'被变异句中的'several'替换，'some'和'several'都表示数量概念，但'several'更具体一些，属于数词和量词之间的替换。
"Some of the most vivid bulletins came over The Well , a Sausalito , Calif. , board that is one of the liveliest outposts of the electronic underground .","Some of the most vivid bulletins came over The Well, a Sausalito, Calif., board that is among the liveliest outposts of the electronic underground.",Realistic,该句子在语法和语义上都是正确的。使用了恰当的词汇和语法结构，描述了一个具体的事实，即一些生动的公告来自于一个位于加州Sausalito的名为The Well的电子公告板，它是电子地下文化中最活跃的前哨之一。,standard,原句中的 'one of' 被替换为 'among'，这是数词和量词之间的替换，符合指定的变换。
"Some 31 % say that either they or a close relative have been victims of crime over the past year , but that is down from 38 % last year and is the lowest figure since 1995 .","Some three out of ten say that either they or a close relative have been victims of crime over the past year, but that is down from four out of ten last year and is the lowest figure since 1995.",Realistic,这句话在语法和语义上都是正确的。它使用了正确的时态和结构来描述过去和现在的比较，并且没有违反常识。,standard,原句中的数词'31%'被替换成了变异句中的量词'three out of ten'，同时原句中的'38%'被替换成了变异句中的'four out of ten'，这符合数词和量词之间的替换变换。
You dismiss as `` sentimental `` the view that the reduction of federal housing-assistance programs by 77 % might have played a significant role in the increased number of men and women sleeping on our city streets during the Reagan-Bush years .,You dismiss as `` sentimental '' the view that the significant reduction of federal housing-assistance programs might have played a crucial role in the increased number of men and women sleeping on our city streets during the Reagan-Bush era .,Realistic,这句话在语法和语义上都是正确的。使用了正确的时态和词汇表达了作者的观点，没有明显的语法错误，也没有违反常识。,standard,原句中的数词'77%'被变异句中的量词'significant'所替换，不符合指定的变换类型，即数词和量词之间的替换。变异句中同时出现了新的词汇'crucial'，但这并不影响对数词和量词替换的判断。
The education establishment will fight against common sense every inch of the way .,The education establishment will fight against common sense every step of the way.,Realistic,这句话在语法上是正确的，使用了将来时态，表达了教育体制在每一步都将与常识进行斗争的观点。从语义上看，这是一个主观的陈述，表达了作者对教育体制的批评，没有明显的语义错误或违反常识。,standard,原句中的数词'inch'被变异句中的量词'step'替换，符合数词和量词之间的替换这一指定变换。
Now that percentage routinely equals a third and twice has been above 40 % .,Now that percentage routinely equals a third and on a couple of occasions has been above 40 % .,Realistic,这句话在语法和语义上都是正确的。句子使用了现在完成时态，表达了过去发生的动作对现在的影响，同时用百分比来描述某种情况的发生频率。句子中的词汇和结构都符合英语语法规则，没有违背常识。,standard,原句中的数词'twice'被变异句中的量词'on a couple of occasions'所替换，符合指定的数词和量词之间的替换变换。
"In interviews , some journalists said the claim that instant news was more incendiary than reports delivered more slowly was a Luddite view that would make poor court policy governing coverage of future trials .","In interviews, several journalists claimed that the notion that instant news was more incendiary than reports delivered at a slower pace was a Luddite view that would make for poor court policy governing coverage of upcoming trials.",Realistic,该句子在语法和语义上都是正确的。句子结构清晰，使用了正确的时态和语态，表达了一个合理的观点，即认为即时新闻比慢速报道更具煽动性的观点是卢德派观点，并认为这会导致在即将到来的审判报道中制定出不好的法庭政策。,standard,原句中的'some'被变异句中的'several'替换，这是数词和量词之间的替换，符合指定的变换。
"When I realized it was over , I went and stood out in front of the house , waiting and praying for Merrill to come home , shivering as if it were 20 below zero until he got there .","When I realized it was over, I went and stood out in front of the house, waiting and praying for Merrill to come home, shivering as if it were several degrees below zero until he got there.",Realistic,这句话在语法和语义上都是正确的。主语和谓语搭配合理，时态一致，描述了一个场景，表达了人物在等待某人时的感受和状态。没有明显的语法错误，也没有违反常识。,standard,原句中的数词'20 below zero'被变异句中的量词'several degrees below zero'替换，符合数词和量词之间的替换这一指定变换。
"If you need more information about your medical condition or your treatment , read the Package Leaflet ( also part of the EPAR ) or contact your doctor or pharmacist .","If you need further information about your medical condition or your treatment, read the Package Leaflet (also part of the EPAR) or consult your doctor or pharmacist.",Realistic,这句话在语法和语义上都是正确的。它提供了一个关于如何获取医疗状况或治疗信息的建议。句子结构清晰，使用了正确的时态和语态，并且遵循了常识，建议患者阅读药品说明书或咨询医生或药剂师以获取更多信息。,nonstandard,原句中的'more information'与变异句中的'further information'并不涉及数词和量词的替换，而是同义词的替换。数词和量词的替换指的是数字与表示数量的词汇之间的替换，例如'more'换成'a few'或'further'换成'several'等，而此例中并未发生此类变换。
The newly identified genes differ from a family of genes discovered in the early 1980s called oncogenes .,The newly identified genes differ from a group of genes discovered in the early 1980s called oncogenes.,Realistic,该句子在语法和语义上都是正确的。主语和谓语搭配合理，时态一致，且句意清晰。句子提到了新发现的基因与20世纪80年代初发现的致癌基因（oncogenes）不同，这在科学上是合理的描述。,standard,原句中的'a family of genes'被变异句中的'a group of genes'替换，这是数词和量词之间的替换，'family'和'group'在此语境中都可以用来表示一组基因，但分别属于不同的量词表达。
"Third , the theory suggests why legislators who pay too much attention to national policy making relative to local benefit-seeking have lower security in office .","Third, the theory suggests why legislators who pay an excessive amount of attention to national policy making relative to local benefit-seeking have lower security in office.",Realistic,这句话在语法和语义上都是正确的。主语是'the theory'，谓语是'suggests'，宾语是'why legislators [...] have lower security in office'。句子结构清晰，表达的意思是理论解释了为什么过分关注国家政策制定而相对忽视地方利益寻求的立法者在职位上的安全感较低，这在语义上是有意义的，并不违反常识。,standard,原句中的'too much'与变异句中的'an excessive amount of'虽然都表示'过多'的意思，但在这里并没有发生数词和量词之间的替换。原句使用的是副词短语'too much attention'，而变异句使用的是形容词短语'an excessive amount of attention'，两者属于不同的语法结构，但并不涉及数词和量词的替换。
An emerging understanding of the genes is expected to produce an array of new strategies for future cancer treatment and prevention .,An emerging understanding of the genes is expected to produce a variety of new strategies for future cancer treatment and prevention.,Realistic,该句子在语法和语义上都是正确的。主语'an emerging understanding of the genes'和谓语'is expected to produce'搭配合理，且句子表达的意思符合常识，即对基因的深入理解有望产生多种新的癌症治疗和预防策略。,standard,原句中的数词'array'被变异句中的量词'a variety of'替换，符合数词和量词之间的替换这一指定变换。
"But the United States is seen as the most influential country by respondents in Mexico and much of Central America , whereas Venezuela enjoys that distinction in Ecuador , the Dominican Republic and Nicaragua .","But the United States is seen as the most influential country by respondents in Mexico and a large part of Central America, whereas Venezuela enjoys that distinction in Ecuador, the Dominican Republic, and several other countries.",Realistic,该句子在语法和语义上都是正确的。主语、谓语、宾语等句子成分齐全，且句子表达的意思符合常识，即不同国家的人对于最有影响力的国家有不同的看法。,standard,原句中的'much of'被变异句中的'a large part of'替换，这是数词和量词之间的替换，符合指定的变换。
"The Alliance of Small Island States , which has 43 members , produced a 24-page draft treaty proposal early Friday morning .","The Alliance of Small Island States, which has over forty members, produced a several-page draft treaty proposal early Friday morning.",Realistic,该句子在语法和语义上都是正确的。句子使用了正确的时态和语法结构，'which has over forty members' 是一个非限制性定语从句，正确描述了The Alliance of Small Island States。同时，'produced a several-page draft treaty proposal' 在语义上表达了该联盟在周五早上产生了一个多页的条约草案提议，没有违反常识。,standard,原句中的具体数词'43'被变异句中的概数'over forty'所替换，同时原句中的具体页数'24-page'被变异句中的概量词'several-page'替换，符合数词和量词之间的替换变换。
"The National Credit Union Administration ( NCUA ) , a financial market regulator , accuses a string of major banks of having used false promises to mislead credit unions into buying the financial products .","The National Credit Union Administration ( NCUA ), a financial market regulator, accuses a series of major banks of having used false promises to mislead credit unions into purchasing the financial products.",Realistic,该句子在语法和语义上都是正确的。句子使用了正确的时态和结构，表达了国家信用合作社管理局（NCUA）作为金融市场监管者，指控一系列主要银行使用虚假承诺误导信用合作社购买金融产品的意思。这并不违反常识，而是反映了可能的监管行为或新闻事件。,standard,原句中的'a string of'与变异句中的'a series of'虽然都表示一系列的意思，但在这里并没有发生数词和量词之间的替换，两个短语都表示数量的概念，属于同类型的量词表达。指定的变换是数词和量词之间的替换，而这个变异句并没有体现出这种替换。
It is silly libel on our teachers to think they would educate our children better if only they got a few thousand dollars a year more .,It is silly libel on our teachers to think they would educate our children better if only they got a couple of thousand dollars a year more.,Realistic,这句话在语法上是正确的，使用了条件句型（if only）表达了一种假设情况，语义上表达了说话者认为给教师增加一些工资并不会使他们教育孩子更出色的观点，没有违背常识。,standard,原句中的数词'few'被变异句中的量词'couple of'替换，符合数词和量词之间的替换这一指定变换。
Support for democracy has risen noticeably in several countries on the Pacific rim of South America ( see table 1 ) .,Support for democracy has risen noticeably in a couple of countries on the Pacific rim of South America ( see table 1 ) .,Realistic,该句子在语法和语义上都是正确的。句子使用了恰当的时态和词汇，表达了民主支持在某些南美洲太平洋沿岸国家明显上升的情况。括号中的内容为附加说明，提供了进一步的信息来源，这在学术写作中是常见做法。,standard,原句中的'several'（几个）被变异句中的'a couple of'（一对，几个）替换，二者都表示数量上的多个，但'a couple of'通常指的数量稍少一些，属于数词和量词之间的替换。
"The US investment bank , Lehman Brothers , went belly-up in September 2008 at the height of the financial crisis .","The US investment bank, Lehman Brothers, went belly-up in September at the height of the financial crisis, a couple of years after 2006.",Realistic,这句话在语法和语义上都是正确的。使用了正确的时态，提到了雷曼兄弟在金融危机高潮时期破产的事实，并且时间线也与历史事件相符。,standard,变异句中并没有发生数词和量词之间的替换。原句中的数词'2008'被改为了时间短语'a couple of years after 2006'，这并不是数词和量词的替换，而是时间表达方式的改变。
"But it was seen as an important advance in a negotiation that is running out of time , with more than 100 world leaders arriving in Copenhagen next week .","But it was seen as an important advance in a negotiation that is running out of time, with numerous world leaders arriving in Copenhagen next week.",Realistic,该句子在语法和语义上都是正确的。主语是‘it’，谓语是‘was seen’，宾语是‘an important advance’，并且定语从句‘that is running out of time’修饰了先行词‘negotiation’。此外，介词短语‘with numerous world leaders arriving in Copenhagen next week’提供了额外的背景信息，说明下周许多世界领导人将抵达哥本哈根，这与句子主旨相符，没有违背常识。,standard,原句中的数词'100'被变异句中的量词'numerous'替换，符合数词和量词之间的替换这一指定变换。
"Mr. Quinlan , 30 years old , knew he carried a damaged gene , having lost an eye to the rare tumor when he was only two months old -- after his mother had suffered the same fate when she was a baby .","Mr. Quinlan, in his thirties, knew he carried a damaged gene, having lost an eye to the rare tumor when he was just a couple of months old -- after his mother had suffered the same fate when she was an infant.",Realistic,该句子在语法和语义上都是正确的。句子使用了正确的时态和语态，清晰地表达了Quinlan先生和他的母亲都遭受了同样的罕见肿瘤，并且他知道自己是带有受损基因的。整个句子结构合理，没有语法错误，也没有违反常识。,standard,原句中的数词'30 years old'被变异句中的量词短语'in his thirties'替换，同时原句中的数词'two months old'被变异句中的'just a couple of months old'替换，这符合数词和量词之间的替换变换。
"Either copy can make the proteins needed to control cell growth , so for cancer to arise , both copies must be impaired .","Either a single copy can make the proteins needed to control cell growth, so for cancer to arise, both copies must be impaired.",Realistic,这句话在语法和语义上都是正确的。它讨论了基因副本对细胞生长控制的影响，这在生物学上是合理的。句子的结构使用了正确的语法形式，表达了癌症发生的条件，即两个基因副本都必须受损。,standard,原句中的'copy'是复数形式，变异句中将其改为单数形式'a single copy'，这是数词和量词之间的替换，符合指定的变换。
Each tablet is marked with the Pfizer logo on one side and with the letters MPT and the quantity of maropitant on the other side .,Each tablet is marked with the Pfizer logo on a single side and with the letters MPT and the amount of maropitant on the other side.,Realistic,该句子在语法和语义上都是正确的。句子描述了药片上的标记，使用了合适的介词和名词，表达了清晰的意思。,standard,原句中的'one'被替换成了变异句中的'single'，都是表示数量的词汇，但用词不同，符合数词和量词之间的替换指定变换。同时，'quantity'被替换成了'amount'，这两个词都可以表示数量，也满足数词和量词替换的要求。
"The scammers themselves were garden-variety low lifes , conspicuous consumers who wanted big houses , Mercedes cars , beautiful women , expensive clothes .","The scammers themselves were garden-variety low lifes, conspicuous consumers who wanted large houses, a couple of Mercedes cars, numerous beautiful women, pricey clothes.",Realistic,该句子在语法和语义上都是正确的。句子使用了形象生动的描写，描述了骗子的特征，语法结构清晰，没有明显的语法错误，且语义表达符合常理。,standard,原句中的数词'big houses'被变异句中的量词'large houses'替换，'Mercedes cars'从单数形式变为了复数形式'a couple of Mercedes cars'，表现出了数量的变化，'beautiful women'从复数形式变为了表达数量的'numerous beautiful women'，而'expensive clothes'被替换为了表达价格区间的'pricey clothes'，这些替换均符合数词和量词之间的替换变换。
"`` It turns out that studying a tragic but uncommon tumor made possible some fundamental insights about the most basic workings of cancer , `` says Samuel Broder , director of the National Cancer Institute .","It turns out that studying a tragic but uncommon tumor made possible several fundamental insights about the most basic workings of cancer, says Samuel Broder, director of the National Cancer Institute.",Realistic,这句话在语法和语义上都是正确的。句子结构清晰，主语、谓语、宾语完整，且语义表达明确，没有违反常识。,standard,原句中的数词'one'被替换为量词'several'，但变异句中数词'many'并未出现，而是保留了原来的'several'，因此没有发生指定的数词和量词之间的替换。
"To the extent that potential Republican candidates and their financial backers realize that the congressional prisoner 's dilemma game works to their disadvantage , the Republican Party will be hindered in its attempts to field a competitive slate of congressional candidates .","To the extent that potential Republican candidates and their financial backers realize that the congressional prisoner's dilemma game works to their disadvantage, the Republican Party will be hindered in its attempts to field a competitive group of congressional candidates.",Realistic,该句子在语法和语义上都是正确的。句子使用了复杂的结构，表达了潜在的共和党候选人和他们的财务支持者意识到国会议员间的囚徒困境游戏对他们不利，这将阻碍共和党在国会候选人中部署有竞争力的团队。句子没有明显的语法错误，也没有违反常识。,nonstandard,原句中的'slate of congressional candidates'与变异句中的'group of congressional candidates'虽然都表示一组候选人，但并未发生数词和量词之间的替换，而是将'slate'替换成了'group'，这两个词都是集合名词，不涉及数词和量词的变更。
"Key speakers at the social exclusion conference were ( left to right ) Cristina Louro , Employment , Industrial Relations and Social Affairs Directorate , European Commission Fernando Gomes , a high degree of Committee of the Regions Barbara Weiler , Member of the European Parliament José Maria Gil-Robles , Vice-President , European Parliament and John Carroll , Economic and Social Committee .","Key speakers at the social exclusion conference were ( from left to right ) Cristina Louro, Employment, Industrial Relations and Social Affairs Directorate, European Commission Fernando Gomes, a high-level Committee of the Regions Barbara Weiler, several Members of the European Parliament José Maria Gil-Robles, Vice-President, European Parliament and John Carroll, Economic and Social Committee.",Realistic,该句子在语法和语义上都是正确的。它列出了参加社会排斥会议的关键发言者，并按照从左到右的顺序列出。句子结构清晰，没有明显的语法错误，且内容符合常识。,standard,在变异句中，'left to right' 被替换为 'from left to right'，这是一个常见的表达方式的变化，不涉及数词和量词的替换。然而，'a high degree of Committee' 被改为 'a high-level Committee'，这里涉及了形容词 'high degree' 到 'high-level' 的替换，这可以看作是量词的简化表达。另外，'Member of the European Parliament' 被改为 'several Members of the European Parliament'，这里明显发生了数词 'one'（隐含在单数形式中）到量词 'several' 的替换。因此，句子发生了数词和量词之间的替换，符合指定的变换。
"Researchers say the inactivation of tumor-suppressor genes , alone or in combination , appears crucial to the development of such scourges as cancer of the brain , the skin , kidney , prostate , and cervix .","Researchers say the inactivation of tumor-suppressor genes, either alone or in conjunction, appears crucial to the development of such scourges as cancer of the brain, the skin, kidney, prostate, and cervix.",Realistic,该句子在语法和语义上都是正确的。句子结构清晰，主语和谓语搭配得当，使用了正确的词汇和语法形式。句中提到的概念也符合科学研究的常识，即肿瘤抑制基因的失活对于脑癌、皮肤癌、肾癌、前列腺癌和宫颈癌等疾病的发展至关重要。,nonstandard,原句中的'alone or in combination'与变异句中的'either alone or in conjunction'虽然都表达了单一与组合的概念，但并未发生数词和量词之间的替换，两个短语中的词汇都保持了原意，没有改变其数词或量词的本质。
"Ten shirt-sleeved ringers stand in a circle , one foot ahead of the other in a prize-fighter 's stance , each pulling a rope that disappears through a small hole in the high ceiling of the ringing chamber .","A dozen shirt-sleeved ringers stand in a circle, each with a foot ahead of the next in a prize-fighter's stance, several pulling a rope that vanishes through a small hole in the towering ceiling of the ringing chamber.",Realistic,这句话在语法和语义上都是正确的。它使用了丰富的描写性语言，形象地描述了一打穿着衬衫的人围成一圈，每个人都采取拳击手的姿势，其中一些人正在拉一根绳子，这根绳子消失在铃声室高耸的天花板上的一个小洞里。句子没有明显的语法错误，也没有违反常识。,standard,原句中的数词'Ten'被变异句中的量词'A dozen'替换，符合数词和量词之间的替换这一指定变换。同时，变异句中使用了'several'来替代原句中的'each'，虽然不是直接数词到数词的替换，但也是数量表达的一种变化，可以视为数词使用的泛化，因此整体上句子发生了指定的变异。
"He had been sitting in the usual corner at the little table , as far as possible from any talkative , friendly lushes .","He had been sitting in the usual corner at the little table, as far as possible from a couple of talkative, friendly lushes.",Realistic,这句话在语法和语义上都是正确的。使用了过去完成时态，表达了在过去某个时间点之前一直在进行的动作。句子描述了一个人坐在远离两个健谈且友好但可能爱喝酒的人的角落里，这在情境上也是合理的。,standard,"原句中的'any talkative, friendly lushes'表示不确定的多个，而变异句中将其替换为'a couple of talkative, friendly lushes'，其中'a couple of'是一个量词短语，用来表示两个或几个，这符合数词和量词之间的替换。"
"Dr. Vogelstein hopes soon to isolate one on chromosome 18 , also involved in colon cancer .","Dr. Vogelstein hopes soon to isolate a single one on chromosome 18, also involved in colon cancer.",Realistic,这句话在语法和语义上都是正确的。'Dr. Vogelstein hopes soon to isolate a single one on chromosome 18' 使用了正确的时态和语法结构，表达了希望尽快在染色体18上分离出某个单一的事物。'also involved in colon cancer' 提供了额外的信息，说明了这个单一事物与结肠癌有关，这在语义上也是通顺的。,standard,原句中的‘one’被变异句中的‘a single one’替换，‘one’是数词，而‘a single one’中的‘a’是量词，这符合数词和量词之间的替换这一指定变换。
"But the game , despite being headed for halftime , was not more decidedand the Maccabees tried to remind the Vitorians that not just anybody wins on their court , and with the ` hand of Elias ' putting the pressure on , they managed to get involved in the game .","But the game, despite being headed for halftime, was not much more decided, and the Maccabees tried to remind the Vitorians that not just anybody wins on their court, and with the ` hand of Elias ' applying significant pressure, they managed to get involved in the game.",Realistic,这句话在语法和语义上都是正确的。句子使用了正确的时态和语法结构，表达了半场前比赛仍然悬而未决的情况，并且提到了'Maccabees'和'Vitorians'两个队伍之间的对抗，以及'Elias'的手对比赛施加的压力，整体上句子符合常识和语境。,standard,原句中的‘not more decided’被变异句中的‘not much more decided’替换，‘more’是一个数词，而‘much’是一个量词，这符合数词和量词之间的替换这一指定变换。
"That is scarcer in Mexico and Central America , where the recession was more severe and violent crime has worsened .","That is rarer in Mexico and Central America, where the recession was more intense and violent crime has increased significantly.",Realistic,该句子在语法和语义上都是正确的。主语是'That'，指代前文提到的某个情况或现象，后面跟着一个比较级'rarer'，表明在墨西哥和中美洲这个情况或现象较为罕见。定语从句'where the recession was more intense and violent crime has increased significantly'描述了墨西哥和中美洲的特点，即经济衰退更为严重，暴力犯罪显著增加。整个句子表达清晰，符合常识。,standard,原句中的'scarcer'被替换成了变异句中的'rarer'，这两个词都可以表示数量的减少，但程度略有不同，属于数词和量词之间的替换。同样，'more severe'被替换成了'more intense'，这两个短语都用来修饰'recession'，表示程度的加强，也符合数词和量词替换的变换要求。此外，'has worsened'被替换成了'has increased significantly'，这里虽然不是直接的数词和量词替换，但'increased'和'worsened'在程度上有对比，'significantly'作为副词加强了程度，也可以看作是量词的替换。
"Patients receiving Alimta and cisplatin survived for an average of 12.1 months , compared with 9.3 months in those receiving cisplatin alone .","Patients receiving Alimta and cisplatin survived for an average of over a year , compared with several months in those receiving cisplatin alone .",Realistic,该句子在语法和语义上都是正确的。主语和谓语搭配合理，使用了正确的时态和比较结构。句子的意思是：接受Alimta和顺铂治疗的患者的平均生存期超过一年，而仅接受顺铂治疗的患者生存期只有几个月。这个句子没有明显的语法错误，也没有违反常识。,standard,原句中的具体数词'12.1 months'被变异句中的'over a year'所替换，同时'9.3 months'被'several months'所替换，符合数词和量词之间的替换变换。
"As for the findings on the 203 Baltimore homeless who underwent psychiatric examinations , I suggest you conduct your own survey .","As for the findings on several Baltimore homeless who underwent psychiatric examinations, I suggest you conduct your own survey.",Realistic,这句话在语法和语义上都是正确的。句子使用了合适的时态和语气，建议对方对巴尔的摩的无家可归者进行自己的调查，这在语境上是有意义的。,standard,原句中的数词'203'被变异句中的量词'several'替换，符合数词和量词之间的替换这一指定变换。
Your Oct. 6 editorial `` The Ill Homeless `` referred to research by us and six of our colleagues that was reported in the Sept. 8 issue of the Journal of the American Medical Association .,Your Oct. 6 editorial `` The Ill Homeless `` referred to research by us and a half-dozen of our colleagues that was reported in the Sept. 8 issue of the Journal of the American Medical Association.,Realistic,该句子在语法和语义上都是正确的。句子结构清晰，使用了正确的时态和引用格式，并且语义表达明确，没有违反常识。,standard,原句中的数词'six'被变异句中的量词'a half-dozen'替换，符合数词和量词之间的替换这一指定变换。
The man with the clipboard represented a halfhearted attempt to introduce a bit of les sportif into our itinerary .,The man with the clipboard represented a partial attempt to introduce a bit of les sportif into our itinerary.,Realistic,该句子在语法和语义上都是正确的。使用了with短语来修饰主语，表达了这个人拿着剪贴板的情况。句子的主语和谓语搭配合理，sportif是法语借用词，用于英语中通常指'具有运动风格的'，整个句子表达了试图为旅行行程增添一些运动风格的尝试，语义上没有问题。,nonstandard,原句中的数词'halfhearted'（半心的）在变异句中被替换成了'partial'（部分的），但这并不是数词和量词之间的替换。'Halfhearted'和'partial'都是形容词，用来描述程度，而数词和量词的替换应该涉及到具体的数字和量词的改变，例如'a half'替换成'a bit'。因此，句子的变换并不符合指定的数词和量词之间的替换。
"Oncogenes must be present for a cell to become malignant , but researchers have found them in normal as well as in cancerous cells , suggesting that oncogenes do n't cause cancer by themselves .","Oncogenes must be present for a cell to become malignant, but researchers have found them in several normal as well as in a couple of cancerous cells, suggesting that oncogenes do not cause cancer by themselves.",Realistic,这句话在语法和语义上都是正确的。它表达了一个科学发现，即癌基因（oncogenes）本身并不足以导致癌症，这与当前的科学理解相符。句子结构清晰，没有语法错误，且含义明确，不违反常识。,nonstandard,原句与变异句中的数词和量词并未发生替换，原句中使用的是‘normal as well as cancerous cells’，变异句中同样使用了‘several normal as well as a couple of cancerous cells’，数词和量词的使用保持一致，没有出现指定的变换。
